지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 마포구 동교동 160-4 아일렉스,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",메가박스중앙(주) 홍대지점 2관,193046.5347,450424.5645
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 컴포트 8관,205130.5917,445590.0968
서울특별시 노원구 상계동 1132-35 3층~9층,"서울특별시 노원구 동일로 1660, 3층~9층 (상계동, 롯데시네마 수락산)",롯데시네마 노원수락산역 제1관,204839.9779,463796.3812
서울특별시 서초구 반포동 19-3 센트럴시티 지하1층,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",메가박스중앙(주) 센트럴 더부티크 103호,200250.4478,444683.2205
서울특별시 서초구 반포동 19-3 센트럴시티 지하1층,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",메가박스중앙(주) 센트럴 더부티크 102호,200250.4478,444683.2205
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제7관),205320.2848,461419.8818
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제4관,205985.9533,459730.4378
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),메가박스중앙(주) 상봉지점 6관,206526.0022,454549.1674
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점108(THE BOUTIQUE),188884.0756,447186.8886
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제2관),205320.2848,461419.8818
서울특별시 광진구 군자동 477-12번지 ,서울특별시 광진구 능동로 289 (군자동),메가박스 군자6,206852.3609,450393.661
서울특별시 광진구 구의동 546-4 테크노마트10층 ,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",CGV강변11 STAR 2관,208394.4164,448165.28
서울특별시 광진구 구의동 546-4 테크노마트10층 ,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",CGV강변11 STAR 3관,208394.4164,448165.28
서울특별시 광진구 구의동 546-4 테크노마트10층 ,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",CGV강변11 4DX 1관,208394.4164,448165.28
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제10관),205320.2848,461419.8818
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제3관,205985.9533,459730.4378
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제4관),205320.2848,461419.8818
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제5관),205320.2848,461419.8818
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원(제8관),205320.2848,461419.8818
서울특별시 성북구 돈암동 538-98,서울특별시 성북구 아리랑로 82 (돈암동),아리랑시네센터 제1관,201158.1367,455288.7654
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),"롯데시네마 노원(제6관, 아르떼)",205320.2848,461419.8818
